action_times,actions,block,button_pressed,correct,key_press,path,queries,questions,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[19935, 22541, 23597]","[u'right', u'right', u'up']",train_basic,,,,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -10, 5]","[19929, 2080, 533]",5.0,"[None, None, None]",,39124,0.0,3.0262455045681644e+18,mouselab-mdp,0
"[61701, 62771, 63635]","[u'left', u'left', u'up']",train_basic,,,,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, 5, 10]","[61697, 546, 343]",25.0,"[None, None, None]",,105995,1.0,-2.6765330699051464e+18,mouselab-mdp,0
"[3770, 4594, 6602]","[u'up', u'up', u'right']",train_basic,,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-5, 10, -10]","[3766, 299, 1469]",-5.0,"[None, None, None]",,115932,2.0,2.9612134047696353e+18,mouselab-mdp,0
"[4468, 5364, 6292]","[u'left', u'left', u'down']",train_basic,,,,"[u'0', u'9', u'10', u'12']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, 10, 5]","[4465, 363, 410]",5.0,"[None, None, None]",,124611,3.0,5.724401768725425e+18,mouselab-mdp,0
"[1301, 7654, 9074]","[u'up', u'up', u'right']",train_basic,,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-5, 10, -10]","[1299, 5831, 888]",-5.0,"[None, None, None]",,136812,4.0,7.645296890765741e+18,mouselab-mdp,0
"[8069, 8662, 9782]","[u'up', u'up', u'right']",train_basic,,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -10, 10]","[8065, 61, 600]",10.0,"[None, None, None]",,149427,5.0,3.812331254939213e+18,mouselab-mdp,0
"[1357, 2101, 3036]","[u'right', u'right', u'down']",train_basic,,,,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, 10, -10]","[1355, 222, 410]",5.0,"[None, None, None]",,154492,6.0,4.126289696711771e+18,mouselab-mdp,0
"[486, 1118, 2151]","[u'left', u'left', u'up']",train_basic,,,,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-5, 10, 10]","[484, 103, 501]",15.0,"[None, None, None]",,159116,7.0,7.03335331080147e+17,mouselab-mdp,0
"[2079, 2630, 3233]","[u'right', u'right', u'down']",train_basic,,,,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -10, 10]","[2076, 23, 75]",10.0,"[None, None, None]",,164442,8.0,6.186837397190105e+18,mouselab-mdp,0
"[973, 2158, 2893]","[u'up', u'up', u'left']",train_basic,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, -10, 10]","[971, 663, 217]",5.0,"[None, None, None]",,169604,9.0,-8.485306912601427e+16,mouselab-mdp,0
"[4637, 5876, 7021]","[u'left', u'left', u'up']",train_hidden,,,,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, -10, -5]","[4635, 708, 620]",-10.0,"[None, None, None]",,181434,10.0,9.10621497278211e+18,mouselab-mdp,0
"[1704, 2575, 3551]","[u'right', u'right', u'up']",train_hidden,,,,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-5, 5, 5]","[1701, 355, 445]",5.0,"[None, None, None]",,187484,11.0,5.015924348765825e+18,mouselab-mdp,0
"[1227, 2004, 2908]","[u'up', u'up', u'right']",train_hidden,,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, 10, 10]","[1226, 237, 378]",30.0,"[None, None, None]",,192988,12.0,7.553211965372142e+18,mouselab-mdp,0
"[1396, 2100, 2875]","[u'left', u'left', u'up']",train_hidden,,,,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, 5, 5]","[1393, 168, 243]",15.0,"[None, None, None]",,198309,13.0,3.583064541232826e+18,mouselab-mdp,0
"[1857, 2433, 3128]","[u'up', u'up', u'left']",train_hidden,,,,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -10, -10]","[1852, 49, 163]",-10.0,"[None, None, None]",,203611,14.0,3.6695183518116547e+18,mouselab-mdp,0
"[6299, 14298, 15114]","[u'right', u'right', u'up']",train_inspector,,,,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, 5, -10]","[6294, 7469, 283]",5.0,"[None, None, None]",,223060,15.0,2.0031782822548767e+18,mouselab-mdp,0
"[7643, 8348, 9242]","[u'right', u'right', u'down']",train_inspector,,,,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [5948]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5, -5, -10]","[7641, 174, 367]",-10.0,"[None, None, None]",,234588,16.0,-3.06599297092415e+18,mouselab-mdp,0
"[2315, 2923, 3708]","[u'left', u'left', u'up']",train_inspector,,,,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9'], u'time': [1044]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, 5, 10]","[2314, 78, 259]",25.0,"[None, None, None]",,240619,17.0,-9.103368144950199e+18,mouselab-mdp,0
"[1801, 2410, 3066]","[u'up', u'up', u'right']",train_inspector,,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1'], u'time': [1262]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, 5, 5]","[1799, 90, 130]",20.0,"[None, None, None]",,245931,18.0,-3.8748518639778094e+18,mouselab-mdp,0
"[1155, 1723, 2628]","[u'right', u'right', u'down']",train_inspector,,,,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [644]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10, -10, -5]","[1153, 44, 385]",-5.0,"[None, None, None]",,250996,19.0,-4.4291516051404616e+18,mouselab-mdp,0
"[49089, 49924, 50772]","[u'left', u'left', u'up']",train_inspect_cost,,,,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [47212]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-10, 5, 10]","[49083, 304, 316]",4.0,"[None, None, None]",,307236,20.0,-5.833452680797874e+18,mouselab-mdp,0
"[2965, 3765, 4581]","[u'right', u'right', u'up']",train_inspect_cost,,,,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[-5, -10, 10]","[2960, 276, 294]",-5.0,"[None, None, None]",,314740,21.0,-5.149457503050632e+18,mouselab-mdp,0
