action_times,actions,block,button_pressed,correct,key_press,path,queries,questions,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
,,,,,32.0,,,,,,1015,,,,171619,,,text,0
,,,,,32.0,,,,,,794,,,,205407,,,text,0
,,,,,32.0,,,,,,648,,,,252644,,,text,0
,,,,,32.0,,,,,,848,,,,335493,,,text,0
,,,,,32.0,,,,,,1387,,,,94690,,,text,1
,,,,,32.0,,,,,,2139,,,,127467,,,text,1
,,,,,32.0,,,,,,1420,,,,213355,,,text,1
,,,,,32.0,,,,,,833,,,,248765,,,text,1
,,,,,32.0,,,,,,1632,,,,110486,,,text,2
,,,,,32.0,,,,,,615,,,,148622,,,text,2
,,,,,32.0,,,,,,750,,,,248543,,,text,2
,,,,,32.0,,,,,,783,,,,333087,,,text,2
,,,,,32.0,,,,,,2278,,,,135781,,,text,3
,,,,,32.0,,,,,,1006,,,,194174,,,text,3
,,,,,32.0,,,,,,1110,,,,287053,,,text,3
,,,,,32.0,,,,,,1093,,,,369774,,,text,3
,,,,,32.0,,,,,,1190,,,,169767,,,text,4
,,,,,32.0,,,,,,881,,,,196057,,,text,4
,,,,,32.0,,,,,,747,,,,266926,,,text,4
,,,,,32.0,,,,,,700,,,,337879,,,text,4
,,,,,32.0,,,,,,790,,,,104236,,,text,5
,,,,,32.0,,,,,,806,,,,135419,,,text,5
,,,,,32.0,,,,,,1127,,,,211926,,,text,5
,,,,,32.0,,,,,,1847,,,,299360,,,text,5
,,,,,32.0,,,,,,1252,,,,114235,,,text,6
,,,,,32.0,,,,,,1250,,,,144912,,,text,6
,,,,,32.0,,,,,,1109,,,,189422,,,text,6
,,,,,32.0,,,,,,1020,,,,219233,,,text,6
,,,,,32.0,,,,,,1040,,,,166387,,,text,7
,,,,,32.0,,,,,,1141,,,,211574,,,text,7
,,,,,32.0,,,,,,1479,,,,337943,,,text,7
,,,,,32.0,,,,,,1646,,,,421709,,,text,7
