bonus,bonusRate,branching,completed,inspectCost,pid,startTime                                                 ,version
0.15 ,0.01     ,312      ,True     ,1          ,0  ,Thu Jan 25 2018 20:14:35 GMT-0800 (Pacific Standard Time) ,c0.7   
0.95 ,0.01     ,312      ,True     ,1          ,1  ,Fri Jan 26 2018 09:38:42 GMT+0530 (India Standard Time)   ,c0.7   
0.83 ,0.01     ,312      ,True     ,1          ,2  ,Fri Jan 26 2018 00:06:54 GMT-0400 (Atlantic Standard Time),c0.7   
1.0  ,0.01     ,312      ,True     ,1          ,3  ,Thu Jan 25 2018 22:06:30 GMT-0600 (Central Standard Time) ,c0.7   
1.85 ,0.01     ,312      ,True     ,1          ,4  ,Thu Jan 25 2018 22:21:57 GMT-0600 (Central Standard Time) ,c0.7   
1.62 ,0.01     ,312      ,True     ,1          ,5  ,Thu Jan 25 2018 23:18:24 GMT-0500 (Eastern Standard Time) ,c0.7   
-0.1 ,0.01     ,312      ,True     ,1          ,6  ,Fri Jan 26 2018 13:56:17 GMT+0900 (Tokyo Standard Time)   ,c0.7   
-0.35,0.01     ,312      ,True     ,1          ,7  ,Thu Jan 25 2018 23:13:14 GMT-0500 (Eastern Standard Time) ,c0.7   
-0.8 ,0.01     ,312      ,True     ,1          ,8  ,Thu Jan 25 2018 23:09:39 GMT-0500 (Eastern Standard Time) ,c0.7   
1.45 ,0.01     ,312      ,True     ,1          ,9  ,Thu Jan 25 2018 23:12:33 GMT-0500 (EST)                   ,c0.7   
1.1  ,0.01     ,312      ,True     ,1          ,10 ,Thu Jan 25 2018 20:18:43 GMT-0800 (Pacific Standard Time) ,c0.7   
0.67 ,0.01     ,312      ,True     ,1          ,11 ,Thu Jan 25 2018 22:17:55 GMT-0600 (Central Standard Time) ,c0.7   
1.87 ,0.01     ,312      ,True     ,1          ,12 ,Thu Jan 25 2018 22:12:50 GMT-0600 (Central Standard Time) ,c0.7   
0.09 ,0.01     ,312      ,True     ,1          ,13 ,Thu Jan 25 2018 20:11:34 GMT-0800 (PST)                   ,c0.7   
     
