bonus,bonusRate,branching,completed,inspectCost,pid,startTime,version
2.11,0.01,312,True,1,0,Sat Jan 27 2018 18:53:34 GMT-0500 (Eastern Standard Time),c1.0
1.79,0.01,312,True,1,1,Sat Jan 27 2018 18:26:59 GMT-0500 (EST),c1.0
2.13,0.01,312,True,1,2,Sat Jan 27 2018 19:18:01 GMT-0500 (Eastern Standard Time),c1.0
1.75,0.01,312,True,1,3,Sat Jan 27 2018 18:40:15 GMT-0500 (Eastern Standard Time),c1.0
2.44,0.01,312,True,1,4,Sat Jan 27 2018 18:36:53 GMT-0500 (Eastern Standard Time),c1.0
2.15,0.01,312,True,1,5,Sat Jan 27 2018 16:40:49 GMT-0800 (PST),c1.0
0.58,0.01,312,True,1,6,Sat Jan 27 2018 18:26:07 GMT-0500 (Eastern Standard Time),c1.0
1.25,0.01,312,True,1,7,Sat Jan 27 2018 18:38:15 GMT-0500 (Eastern Standard Time),c1.0
0.65,0.01,312,True,1,8,Sat Jan 27 2018 19:19:04 GMT-0500 (EST),c1.0
1.99,0.01,312,True,1,9,Sat Jan 27 2018 17:27:43 GMT-0600 (Central Standard Time),c1.0
2.19,0.01,312,True,1,10,Sat Jan 27 2018 17:33:56 GMT-0600 (Central Standard Time),c1.0
1.78,0.01,312,True,1,11,Sat Jan 27 2018 19:34:55 GMT-0500 (Eastern Standard Time),c1.0
2.51,0.01,312,True,1,12,Sat Jan 27 2018 19:46:44 GMT-0500 (Eastern Standard Time),c1.0
2.48,0.01,312,True,1,13,Sat Jan 27 2018 18:44:10 GMT-0600 (Central Standard Time),c1.0
2.94,0.01,312,True,1,14,Sat Jan 27 2018 18:27:34 GMT-0500 (EST),c1.0
0.0,0.01,312,False,1,15,Sat Jan 27 2018 18:28:17 GMT-0600 (Central Standard Time),c1.0
1.9,0.01,312,True,1,16,Sat Jan 27 2018 18:42:48 GMT-0500 (Eastern Standard Time),c1.0
2.14,0.01,312,True,1,17,Sat Jan 27 2018 18:27:14 GMT-0500 (Eastern Standard Time),c1.0
0.68,0.01,312,True,1,18,Sat Jan 27 2018 18:30:31 GMT-0500 (EST),c1.0
1.97,0.01,312,True,1,19,Sat Jan 27 2018 17:43:43 GMT-0600 (Central Standard Time),c1.0
0.32,0.01,312,True,1,20,Sat Jan 27 2018 18:11:52 GMT-0600 (Central Standard Time),c1.0
0.93,0.01,312,True,1,21,Sat Jan 27 2018 17:28:50 GMT-0600 (Central Standard Time),c1.0
2.82,0.01,312,True,1,22,Sat Jan 27 2018 16:24:38 GMT-0700 (Mountain Standard Time),c1.0
1.28,0.01,312,True,1,23,Sat Jan 27 2018 16:24:32 GMT-0700 (MST),c1.0
1.68,0.01,312,True,1,24,Sat Jan 27 2018 18:49:32 GMT-0500 (Eastern Standard Time),c1.0
2.63,0.01,312,True,1,25,Sat Jan 27 2018 18:25:38 GMT-0500 (Eastern Standard Time),c1.0
1.63,0.01,312,True,1,26,Sat Jan 27 2018 17:55:47 GMT-0600 (Central Standard Time),c1.0
1.05,0.01,312,True,1,27,Sat Jan 27 2018 19:15:54 GMT-0500 (EST),c1.0
