questions,responses,rt,time_elapsed,trial_type,pid
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",10530,460802,survey-multi-choice,0
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",26106,478056,survey-multi-choice,1
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",11951,424298,survey-multi-choice,2
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",20482,446225,survey-multi-choice,3
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",36697,478652,survey-multi-choice,4
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",9577,428506,survey-multi-choice,5
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",null,""1 cent for every $1 you make in the game""]",15789,418065,survey-multi-choice,6
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",12552,475088,survey-multi-choice,7
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$1"",""1 cent for every $1 you make in the game""]",13637,343062,survey-multi-choice,8
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",30414,745062,survey-multi-choice,9
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",20620,291858,survey-multi-choice,10
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$1"",""1 cent for every $1 you make in the game""]",18888,370704,survey-multi-choice,11
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",18458,710591,survey-multi-choice,12
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",16981,537438,survey-multi-choice,13
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",12264,576531,survey-multi-choice,14
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 dollar for every $10 you make in the game""]",27036,343382,survey-multi-choice,15
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 dollar for every $1 you make in the game""]",30730,626987,survey-multi-choice,16
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",12259,452733,survey-multi-choice,17
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$1"",""1 cent for every $1 you make in the game""]",9427,241701,survey-multi-choice,18
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",15735,350472,survey-multi-choice,19
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",15305,372175,survey-multi-choice,20
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""$0 to $15"",""$0"",""1 cent for every $1 you make in the game""]",51130,583833,survey-multi-choice,21
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",41164,641166,survey-multi-choice,22
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",14364,620209,survey-multi-choice,23
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",18417,309690,survey-multi-choice,24
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",26942,539882,survey-multi-choice,25
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $1 you make in the game""]",23457,588529,survey-multi-choice,26
"[""What was the range of node values?"",""What is the cost of clicking?"",""How much REAL money do you earn?""]","[""-$10 to $10"",""$1"",""1 cent for every $10 you make in the game""]",24061,255159,survey-multi-choice,27
