rt,time_elapsed,trial_type,pid
"[6755, 212, 561]",701585,survey-text,0
75270,770687,survey-text,0
68089,770688,survey-text,0
109763,832672,survey-text,1
32334,866014,survey-text,1
90223,804569,survey-text,2
15383,820965,survey-text,2
"[8424, 56, 11]",721936,survey-text,3
298209,1012800,survey-text,3
289858,1012800,survey-text,3
256429,1094820,survey-text,4
13614,1109437,survey-text,4
68361,740971,survey-text,5
10159,752138,survey-text,5
59978,715781,survey-text,6
17641,734434,survey-text,6
96636,828955,survey-text,7
18384,848346,survey-text,7
44636,603602,survey-text,8
8936,613548,survey-text,8
"[8102, 246, 391]",1173537,survey-text,9
260390,1421310,survey-text,9
246767,1421310,survey-text,9
107562,665483,survey-text,10
9253,675764,survey-text,10
"[8887, 7, 61]",661881,survey-text,11
66602,720614,survey-text,11
57728,720615,survey-text,11
"[8951, 315, 755]",1071267,survey-text,12
173164,1237375,survey-text,12
165098,1237376,survey-text,12
123501,960093,survey-text,13
16289,977409,survey-text,13
225331,1080283,survey-text,14
52631,1133922,survey-text,14
74639,957746,survey-text,16
14847,973603,survey-text,16
123104,866175,survey-text,17
10461,877643,survey-text,17
18857,505405,survey-text,18
12844,519254,survey-text,18
103630,707397,survey-text,19
9210,717611,survey-text,19
44381,673364,survey-text,20
28837,703214,survey-text,20
45169,918864,survey-text,21
13757,933884,survey-text,21
"[8546, 4, 166]",945707,survey-text,22
123636,1060862,survey-text,22
114150,1060862,survey-text,22
"[5019, 399, 552]",1060407,survey-text,23
112042,1153793,survey-text,23
92378,1153794,survey-text,23
123419,658156,survey-text,24
18864,678028,survey-text,24
"[18066, 210, 156]",865093,survey-text,25
147043,1007122,survey-text,25
141023,1007122,survey-text,25
74311,888497,survey-text,26
19439,908958,survey-text,26
"[13820, 53, 103]",521892,survey-text,27
37426,555695,survey-text,27
32765,555695,survey-text,27
