key_press,rt,time_elapsed,trial_type,pid
32.0,810,98399,text,0
32.0,911,141895,text,0
32.0,772,256785,text,0
32.0,169,348745,text,0
32.0,1087,140150,text,1
32.0,829,177939,text,1
32.0,807,288347,text,1
32.0,919,347826,text,1
32.0,1164,108887,text,2
32.0,766,155951,text,2
32.0,686,262597,text,2
32.0,1014,340141,text,2
32.0,1151,114039,text,3
32.0,728,148967,text,3
32.0,1256,265024,text,3
32.0,1326,343504,text,3
32.0,1143,137196,text,4
32.0,1183,194787,text,4
32.0,1783,324091,text,4
32.0,1040,401187,text,4
32.0,684,116970,text,5
32.0,825,158455,text,5
32.0,695,245109,text,5
32.0,630,347738,text,5
32.0,1768,143232,text,6
32.0,1497,189508,text,6
32.0,2384,277642,text,6
32.0,1448,362446,text,6
32.0,1407,127329,text,7
32.0,1037,172468,text,7
32.0,1523,293157,text,7
32.0,1480,380786,text,7
32.0,1083,104985,text,8
32.0,969,134601,text,8
32.0,885,231155,text,8
32.0,463,289888,text,8
32.0,889,173011,text,9
32.0,858,217821,text,9
32.0,999,408185,text,9
32.0,3919,553707,text,9
32.0,950,108638,text,10
32.0,590,143983,text,10
32.0,628,169404,text,10
32.0,1189,226092,text,10
32.0,744,108688,text,11
32.0,593,139578,text,11
32.0,637,221295,text,11
32.0,603,288109,text,11
32.0,3488,224043,text,12
32.0,1122,293207,text,12
32.0,1766,451427,text,12
32.0,1429,588179,text,12
32.0,1810,201621,text,13
32.0,1388,246090,text,13
32.0,1441,350286,text,13
32.0,1059,437928,text,13
32.0,1558,163278,text,14
32.0,904,220703,text,14
32.0,708,329421,text,14
32.0,574,458539,text,14
32.0,715,99241,text,15
32.0,955,215209,text,15
32.0,647,240815,text,15
32.0,741,272157,text,15
32.0,1517,342299,text,16
32.0,1272,380312,text,16
32.0,1337,466663,text,16
32.0,1110,537118,text,16
32.0,1358,118211,text,17
32.0,814,158857,text,17
32.0,644,251153,text,17
32.0,549,340904,text,17
32.0,886,79477,text,18
39.0,591,109924,text,18
32.0,832,159722,text,18
32.0,625,193095,text,18
32.0,1608,87034,text,19
32.0,832,116183,text,19
32.0,1022,203835,text,19
32.0,918,290296,text,19
32.0,906,114521,text,20
32.0,787,149490,text,20
32.0,911,239385,text,20
32.0,38756,324074,text,20
32.0,1528,134743,text,21
32.0,1962,219617,text,21
32.0,1217,320369,text,21
32.0,2626,413307,text,21
32.0,1582,166339,text,22
32.0,1856,230764,text,22
32.0,901,375147,text,22
32.0,1007,493213,text,22
32.0,1189,132084,text,23
32.0,870,180757,text,23
32.0,120715,457671,text,23
32.0,1744,530187,text,23
32.0,816,110382,text,24
32.0,1272,142106,text,24
32.0,826,193553,text,24
32.0,667,238166,text,24
32.0,1294,128415,text,25
32.0,823,179860,text,25
32.0,790,323021,text,25
32.0,808,426638,text,25
32.0,1392,228189,text,26
32.0,1372,292215,text,26
32.0,1151,398464,text,26
32.0,1249,484350,text,26
32.0,708,77193,text,27
32.0,609,103927,text,27
32.0,547,150571,text,27
37.0,14,176927,text,27
